judul,berita,emiten
"Kurs Jual Beli Dolar AS di BCA (BBCA), BRI (BBRI), Bank Mandiri (BMRI), dan BNI (BBNI) Hari Ini, Cek Rinciannya","saham-saham yang masuk top gainers, yaitu pt megapower makmur tbk (mpow) melejit 6,73% di rp111, pt djasa ubersakti tbk (ptdu) melesat 5% di rp126, dan pt waskita karya (persero) tbk (wskt) tumbuh 2,75% di rp560.",['wskt']
"Paruh Pertama 2022, Kredit Sindikasi Mengalir Deras ke Sektor Energi dan Industri","saham smgr, adro, dan mncn jadi pendorong indeks bisnis-27 melaju bisnis.com , jakarta — indeks bisnis-27 dibuka pada perdagangan hari ini mengikuti tren positif ihsg dengan dorongan sejumlah saham seperti adro hingga mncn.","['smgr', 'adro', 'mncn', 'buka', 'adro', 'mncn']"
"Paruh Pertama 2022, Kredit Sindikasi Mengalir Deras ke Sektor Energi dan Industri","(smgr) memimpin penguatan pada hari ini dengan kenaikan 1,37 persen atau setara 100 poin ke level 7.400. berikutnya ada perusahaan tambang yang dinakhodai garibaldi 'boy' thohir, pt adaro energy indonesia tbk.",['smgr']
"Paruh Pertama 2022, Kredit Sindikasi Mengalir Deras ke Sektor Energi dan Industri","(adro) yang naik 1,36 persen atau 40 poin ke level 2.980. di posisi ketiga zona hijau ada perusahaan media milik hary tanoesoedibjo, pt media nusantara citra tbk.",['adro']
"Paruh Pertama 2022, Kredit Sindikasi Mengalir Deras ke Sektor Energi dan Industri","(mncn) dengan kenaikan 1,02 persen atau 10 poin ke level 995. adapun saham indeks bisnis-27 yang parkir di zona merah dipimpin oleh perusahaan tambang pt vale indonesia tbk.",['mncn']
"Paruh Pertama 2022, Kredit Sindikasi Mengalir Deras ke Sektor Energi dan Industri","(inco) dengan penurunan 2,73 persen atau setara 175 poin ke level 6.225. posisi kedua zona merah ditempati oleh emiten rumah sakit hermina, pt medikaloka hermina tbk.",['inco']
"Paruh Pertama 2022, Kredit Sindikasi Mengalir Deras ke Sektor Energi dan Industri","(heal) yang terkoreksi 2 persen atau setara 30 poin ke posisi 1.470. sederet emiten lain yang ikut merosot antaralain unvr, mdka, asii, klbf, amrt dkk dengan penurunan di kisaran 0,35 persen hingga 1,21 persen.","['unvr', 'mdka', 'asii', 'klbf', 'amrt']"
"Paruh Pertama 2022, Kredit Sindikasi Mengalir Deras ke Sektor Energi dan Industri","pembukaan indeks bisnis-27 yang menguat seiring dengan pembukaan indeks harga saham gabungan (ihsg) yang turut menghijau sebesar 0,22 persen ke posisi 7.013,398. sebanyak 241 saham berada di zona hijau, 135 saham di zona merah, dan 169 saham stagnan.","['buka', 'buka']"
"Bursa Siang: Saham Asia Dijegal Pelemahan Sentimen Konsumen, IHSG Ikut Terjungkal","ihsg bergerak konsisten menghijau di awal sesi ipotnews - ihsg pada sesi perdagangan hari ini, jumat (24/6), dibukadi level 7.022, lebih tinggi dari sesi penutupan kemarin di level 6.998.pada pukul 09.04 wib indeks masih menguat sebesar 0,40 persen atau 27 poin menjadi 7.025. indeks sempat menyentuh level tertinggi 7.035 dan terendah di level 7.016, bergerak konsistendi zona hijau.",['buka']
"Bursa Siang: Saham Asia Dijegal Pelemahan Sentimen Konsumen, IHSG Ikut Terjungkal","sektor yang melemah adalah konsumer primer -0,23 persen menjadi 715,sektortransportasi -1,19 persen menjadi 1.954, kesehatan -0,66 persen menjadi 1.508. sedangkan sektor yang menguat adalah infrastruktur 0,89 persen menjadi 968, konsumer non primer 0,26 persen menjadi 890. industri dasar bertambah 0,17 persen menjadi 1.283, sektor aneka industri 0,29 persen menjadi 1.231, energi 0,51 persen menjadi 1.663, teknologi 0,50 persen menjadi 7.732, properti 0,12 persen menjadi 686, keuangan 0,25 persen menjadi 1.464. dari indeks kompas100, saham yang menjadi top gainer adalah adhi 4,43 persen, myor 3,49 persen, mtdl 3,51 persen, wika 3,16 persen, isat 3,02 persen.",['wika']
"Bursa Siang: Saham Asia Dijegal Pelemahan Sentimen Konsumen, IHSG Ikut Terjungkal","kemudian untuk emiten yang masih stabil pergerakan nilai sahamnya yaitu zyrx , ctra , icbp , sido , cpin .","['icbp', 'cpin']"
"Bursa Siang: Saham Asia Dijegal Pelemahan Sentimen Konsumen, IHSG Ikut Terjungkal","sedangkan emiten yang menjadi top losser inco -2,73 persen, heal -2 persen, medc -1,54 persen, excl -1,12 persen dan pmmp -1,01 persen.","['inco', 'medc', 'excl']"
"Bursa Siang: Saham Asia Dijegal Pelemahan Sentimen Konsumen, IHSG Ikut Terjungkal","saham-saham yang paling banyak dibeli oleh asing (nett) yaitu tlkm , smgr , bumi , bbca , intp .","['tlkm', 'smgr', 'bbca', 'intp']"
"Bursa Siang: Saham Asia Dijegal Pelemahan Sentimen Konsumen, IHSG Ikut Terjungkal","adapun saham yang paling banyak dijual oleh asing (nett) yaitu bbri , cpin , klbf , mtmh , asii .","['bbri', 'cpin', 'klbf', 'asii']"
"Tersisa 3 Sektor Menguat, IHSG Parkir di Zona Merah Saat Akhir Sesi I","rekomendasi - tlkm rekomendasi : buy time horizon 1 - 5 hari trafik pt infomedia nusantara (infomedia), anak usaha pt telkom indonesia ( tlkm ) mencatatkan pertumbuhan hingga 7x lipat.","['tlkm', 'tlkm']"
"Tersisa 3 Sektor Menguat, IHSG Parkir di Zona Merah Saat Akhir Sesi I","current price : 4.160 target harga 1 : 4.220 target harga 2 : 4.280 cut loss : < 4.040 - unvr rekomendasi : buy time horizon 1 - 5 hari unvr membagikan dividen final dari laba bersih perseroan untuk tahun buku 2021 sebesar rp 84 per saham kepada sebanyak 38.150.000.000 saham atau setara rp 3,2 triliun.","['unvr', 'unvr']"
"Tersisa 3 Sektor Menguat, IHSG Parkir di Zona Merah Saat Akhir Sesi I",current price : 1.190 target beli : 1.180 target harga 1 : 1.210 target harga 2 : 1.235 disclaimers informasi dan opini yang diungkapkan merupakan pandangan analis yang disampaikan untuk tujuan umum dan bukan merupakan bentuk ajakan membeli suatu saham.,['buka']
Intip Rekomendasi Saham dari Sejumlah Analis untuk Perdagangan Rabu (29/6),"berikut ini beberapa rekomendasi dari yugen bertumbuh sekuritas, untuk saham-saham berpotensi dicermati pada perdagangan hari ini, diantaranya adalah: - smra - pwon - asri - bsde - wton - bbca - bbri - apln - bina research analyst artha sekuritas indonesia, dennies christoper menambahkan, ada beberapa saham layak dicermati pada perdagangan hari ini.","['bbca', 'bbri']"
Intip Rekomendasi Saham dari Sejumlah Analis untuk Perdagangan Rabu (29/6),"dia pun rekomendasikan saham milik eraa erajaya swasembada tbk dengan target price 530 – 545, tingkat masuk 500 - 510, dan stop loss 490.",['eraa']
Intip Rekomendasi Saham dari Sejumlah Analis untuk Perdagangan Rabu (29/6),"selain eraa, dennies juga rekomendasikan saham milik mika mitra keluarga karyasehat tbk.","['eraa', 'mika']"
Intip Rekomendasi Saham dari Sejumlah Analis untuk Perdagangan Rabu (29/6),"mika masih menarik dicermati dengan target price 2.950 - 3.000, tingkat masuk 2.800 - 2.850, dan stop loss 2.770.",['mika']
Intip Rekomendasi Saham dari Sejumlah Analis untuk Perdagangan Rabu (29/6),"disclaimer : artikel ini merupakan rekomendasi dan analisis saham dari analis sekuritas yang bersangkutan, bukan untuk mengajak membeli atau menjual saham tertentu.",['buka']
"Sawit Sumbermas Sarana Kantongi Pinjaman Sindikasi hingga Rp 4,3 Triliun","hore, ihsg dibuka terkerek 24,27 poin jelang akhir pekan jakarta, investor.id – ditutup menguat sebesar 13 poin (0,20%) ke level 6.998, ihsg dibuka menguat pada perdagangan sesi i, jumat (24/6/2022).","['buka', 'buka']"
"Sawit Sumbermas Sarana Kantongi Pinjaman Sindikasi hingga Rp 4,3 Triliun","baca juga: bri danareksa sekuritas: ihsg cenderung naik, cermati main, pwon, dan tlkm harga konsumen inti di jepang naik 2,1% untuk bulan mei dibandingkan dengan tahun sebelumnya, sesuai dengan perkiraan, menurut reuters.",['tlkm']
"Sawit Sumbermas Sarana Kantongi Pinjaman Sindikasi hingga Rp 4,3 Triliun","saham-saham yang dapat diperhatikan diantaranya indf, hrum, tlkm, asii, bjbr dan bbyb.","['indf', 'hrum', 'tlkm', 'asii']"
"Sawit Sumbermas Sarana Kantongi Pinjaman Sindikasi hingga Rp 4,3 Triliun","saham-saham konstruksi seperti wika, adhi, ptpp dan wskt juga dapat diperhatikan.","['wika', 'ptpp', 'wskt']"
"Saham Migas Tertekan, Pelemahan IHSG Berlanjut","berikut ini beberapa rekomendasi dari yugen bertumbuh sekuritas, untuk saham-saham berpotensi dicermati pada perdagangan hari ini, diantaranya adalah: - smra - pwon - asri - bsde - wton - bbca - bbri - apln - bina research analyst artha sekuritas indonesia, dennies christoper menambahkan, ada beberapa saham layak dicermati pada perdagangan hari ini.","['bbca', 'bbri']"
"Saham Migas Tertekan, Pelemahan IHSG Berlanjut","dia pun rekomendasikan saham milik eraa erajaya swasembada tbk dengan target price 530 – 545, tingkat masuk 500 - 510, dan stop loss 490.",['eraa']
"Saham Migas Tertekan, Pelemahan IHSG Berlanjut","selain eraa, dennies juga rekomendasikan saham milik mika mitra keluarga karyasehat tbk.","['eraa', 'mika']"
"Saham Migas Tertekan, Pelemahan IHSG Berlanjut","mika masih menarik dicermati dengan target price 2.950 - 3.000, tingkat masuk 2.800 - 2.850, dan stop loss 2.770.",['mika']
"Saham Migas Tertekan, Pelemahan IHSG Berlanjut","disclaimer : artikel ini merupakan rekomendasi dan analisis saham dari analis sekuritas yang bersangkutan, bukan untuk mengajak membeli atau menjual saham tertentu.",['buka']
"Bantu DJP, BNI Buka Kerja Sama Peningkatan Layanan Nasabah",adro siap naik lagi?,['adro']
"Bantu DJP, BNI Buka Kerja Sama Peningkatan Layanan Nasabah","jakarta, cnbc indonesia - emiten tambang batu bara milik garibaldi 'boy' thohir yaitu pt adaro energy indonesia tbk (adro) berencana perpanjang periode pembelian kembali ( buyback ) saham.",['adro']
"Bantu DJP, BNI Buka Kerja Sama Peningkatan Layanan Nasabah","berdasarkan keterbukaan informasi yang disampaikan perseroan pada 20 juni 2022, perpanjangan periode buyback pada 20 juni hingga 19 september 2022. keputusan ini terjadi jelang kembali melesatnya harga batu bara acuan newcastle yang pekan lalu naik 13% dan kembali naik pada perdagangan hari ini sebesar 1,53% ke level us$ 398/ton.",['buka']
"Bantu DJP, BNI Buka Kerja Sama Peningkatan Layanan Nasabah",adro memang getol melakukan aksi korporasi berupa buyback saham sejak september tahun lalu.,['adro']
"Bantu DJP, BNI Buka Kerja Sama Peningkatan Layanan Nasabah",adanya aksi korporasi ini turut membuat harga saham adro terkerek naik.,['adro']
"Bantu DJP, BNI Buka Kerja Sama Peningkatan Layanan Nasabah","dalam 6 bulan terakhir harga saham adro naik 61,98%.",['adro']
"Bantu DJP, BNI Buka Kerja Sama Peningkatan Layanan Nasabah",sekretaris perusahaan adro mahardika putranto mengatakan adanya aksi korporasi ini tak akan berdampak negatif terhadap kinerja keuangan perseroan karena saldo laba dan arus kas perseroan yang tersedia mencukupi untuk aksi ini.,['adro']
"Bantu DJP, BNI Buka Kerja Sama Peningkatan Layanan Nasabah",hal ini tercermin dari mayoritas analis yang masih memberikan rating buy dengan target harga rp 3.500. riset mirae sekuritas bahkan mematok target harga saham adro di rp 3.950/unit dengan rating buy .,['adro']
"Bantu DJP, BNI Buka Kerja Sama Peningkatan Layanan Nasabah",kinerja keuangan adro memang sedang moncer.,['adro']
"Bantu DJP, BNI Buka Kerja Sama Peningkatan Layanan Nasabah","sementara itu laba bersih adro naik 323,5% secara tahunan menjadi us$ 400 juta.",['adro']
"Bantu DJP, BNI Buka Kerja Sama Peningkatan Layanan Nasabah",tren kenaikan harga batu bara ini diperkirakan bakal mendongkrak pendapatan adro.,['adro']
"Bantu DJP, BNI Buka Kerja Sama Peningkatan Layanan Nasabah",mirae asset sekuritas pun merevisi naik proyeksi pendapatan adro untuk tahun ini.,['adro']
"Bantu DJP, BNI Buka Kerja Sama Peningkatan Layanan Nasabah","top line adro diproyeksikan naik 37,6% dikarenakan oleh potensi peningkatan asp.",['adro']
Suntikan Vitamin untuk Saham CPIN Kembali Lewati Rp6.000,"simak rekomendasi saham teknikal dari tiga perusahaan sekuritas ini: 1. artha sekuritas pwon entry level 490 - 500, tp 520 - 530, stop loss 484 mika entry level 2.800 – 2.850, tp 2.950 – 3.000, stop loss 2.770 tlkm entry level 4.120 – 4.180, tp 4.260 – 4.320, stop loss 4.0902. pilarmas investindo klbf last price 1.700, support 1.655, resistance 1.765 excl last price 2.670, support 2.600, resistance 2.760 bbtn last price 1.480, support 1.445, resistance 1.530, tp 1.350, exit 1.5503. binaartha sekuritas adro rekomendasi hold / speculative buy 2.800 – 2.850, tp 3.210. antm rekomendasi hold / buy on weakness 1.910 – 1.940, tp 2.200. bbri rekomendasi hold / buy on weakness 4.270 – 4.290, tp 4.390. disclaimer: artikel ini bukan untuk mengajak membeli atau menjual saham.","['mika', 'tlkm', 'klbf', 'excl', 'bbtn', 'adro', 'antm', 'bbri', 'buka']"
"Laju IHSG Fluktuatif, Indeks Sektor Saham Energi Pimpin Penguatan","anak usaha pt telkom indonesia (persero) tbk ( tlkm ), yakni pt bosnet distribution indonesia menargetkan tahun ini bisa memiliki 10 klien yang menggunakan platform barunya, bosnet next generation ecosystem.",['tlkm']
"Laju IHSG Fluktuatif, Indeks Sektor Saham Energi Pimpin Penguatan","ceo bosnet dicky anfiadi mengatakan saat ini kontribusi bosnet kepada induknya, pt telkom indonesia (persero) tbk ( tlkm ) masih kecil.",['tlkm']
"Laju IHSG Fluktuatif, Indeks Sektor Saham Energi Pimpin Penguatan","""tahun lalu net income kami tumbuh 93% dan ebitda tumbuh sekitar 90%,"" ujarnya di jakarta, rabu (22/6).",['inco']
Outfow Jangka Pendek Asing Bikin ETF Berbobot Saham Finansial Layak Koleksi,selambat-lambatnya 1 juli 2022 tanggal pernyataan efektif : 12 juli 2022 tanggal penawaran umum : 14-15 juli 2022 tanggal penjatahan : 18 juli 2022 tanggal pembayaran dari investor : 19 juli 2022 tanggal distribusi obligasi : 20 juli 2022 tanggal pencatatan : 21 juli 2022 selanjutnya halaman 1 2 bri bbri obligasi hijau green bond,['bbri']
"Dibuka Melemah, IHSG Berbalik Menguat di Awal Sesi","direksi serok lagi saham bank bca (bbca) di harga rp 7.325-7.350 per saham jakarta, investor.id - direksi pt bank central asia tbk (bbca) atau bca lianawaty suwono melakukan akumulasi dengan melakukan pembelian saham bbca sebanyak 90.600 lembar pada tanggal 15 juni 2022. corporate secretary bank bca raymon yonarto dalam keterbukaan informasi bei, dikutip kamis (23/6/2022) menyampaikan bahwa lianawaty suwono telah membeli saham bbca sebanyak 90.600 lembar di harga rp 7.325-rp 7.350 per saham dan merogoh dana sekitar rp 664,7 juta.","['bbca', 'bbca', 'bbca', 'buka', 'bbca']"
"Dibuka Melemah, IHSG Berbalik Menguat di Awal Sesi","sebelumnya, lianawaty suwono juga pernah membeli saham bbca sebanyak 68.000 lembar saham di harga rp 7.350 per saham senilai rp 499,8 juta pada tanggal 13 mei 2022. pasca pembelian, maka kepemilikan saham lianawaty suwono di bbca bertambah menjadi 1.729.108 lembar saham dibandingkan sebelumnya sebanyak 1.638.508. sebelumnya, dua direksi menambah porsi kepemilikan saham bank bca.","['bbca', 'bbca']"
"HUT Ke-76, BNI Gelar Akad 5.476 Debitur FLPP","berikut ini beberapa rekomendasi dari yugen bertumbuh sekuritas, untuk saham-saham berpotensi dicermati pada perdagangan hari ini, diantaranya adalah: - asri - jsmr - tlkm - asii - aali - indf - lsip - wika - bbca research analyst artha sekuritas indonesia, dennies christoper menambahkan, ada beberapa saham layak dicermati pada perdagangan hari ini.","['tlkm', 'asii', 'indf', 'wika', 'bbca']"
"HUT Ke-76, BNI Gelar Akad 5.476 Debitur FLPP","dia pun merekomendasikan saham milik eraa erajaya swasembada tbk dengan target price 530 – 545, tingkat masuk 500 - 510, dan stop loss 490.",['eraa']
"HUT Ke-76, BNI Gelar Akad 5.476 Debitur FLPP","selain eraa, dennies juga merekomendasikan saham milik mika mitra keluarga karyasehat tbk.","['eraa', 'mika']"
"HUT Ke-76, BNI Gelar Akad 5.476 Debitur FLPP","mika masih menarik dicermati dengan target price 2.950 - 3.000, tingkat masuk 2.800 - 2.850, dan stop loss 2.770.",['mika']
"HUT Ke-76, BNI Gelar Akad 5.476 Debitur FLPP","disclaimer: artikel ini merupakan rekomendasi dan analisis saham dari analis sekuritas yang bersangkutan, bukan untuk mengajak membeli atau menjual saham tertentu.",['buka']
"IHSG Diprediksi Lanjut Melemah Hari Ini, Simak Rekomendasi Sahamnya","aksi jual bersih (net sell) tertinggi siang ini dicatatkan oleh bank rakyat indonesia (bbri) sebesar rp 77,7 miliar.",['bbri']
"IHSG Diprediksi Lanjut Melemah Hari Ini, Simak Rekomendasi Sahamnya",harga saham bbri siang ini stagnan di level rp 4.320 per saham.,['bbri']
"IHSG Diprediksi Lanjut Melemah Hari Ini, Simak Rekomendasi Sahamnya","kemudian, vale indonesia (inco) mencatatkan net sell sebesar 60,9 miliar.",['inco']
"IHSG Diprediksi Lanjut Melemah Hari Ini, Simak Rekomendasi Sahamnya","inco anjlok 6,67 persen di posisi rp 6.300 per saham.",['inco']
"IHSG Diprediksi Lanjut Melemah Hari Ini, Simak Rekomendasi Sahamnya","top losers siang ini ditempati oleh timah (tins) ynag ambles 5,8 persen pada posisi rp 1.520 per saham.",['tins']
"IHSG Diprediksi Lanjut Melemah Hari Ini, Simak Rekomendasi Sahamnya","selanjutnya, adaro energy (adro) melemah 3,6 persen menjadi rp 2.920 per saham.",['adro']
"IHSG Diprediksi Lanjut Melemah Hari Ini, Simak Rekomendasi Sahamnya","sementara itu, top gainers siang ini ditempati oleh excel axiata (excl) yang melonjak 4,4 persen di level rp 2.590 per saham.",['excl']
"IHSG Diprediksi Lanjut Melemah Hari Ini, Simak Rekomendasi Sahamnya","selanjutnya, charoen pokphand (cpin) naik 2,2 persen menjadi rp 5.575 per saham.",['cpin']
"IHSG Diprediksi Lanjut Melemah Hari Ini, Simak Rekomendasi Sahamnya",disclaimer: artikel ini bukan untuk mengajak membeli atau menjual saham.,['buka']
"Mirae: IHSG Konsolidasi, Cek Rekomendasi MEDC, PGAS, ASII","bursa sore: resesi terbuka lebar saham asia sempat goyah, ihsg rebound di menit akhir ipotnews - ihsg akhirnya terbebas dari teritori pelemahan pada akhir perdagangan hari kamis (23/6).",['buka']
"Mirae: IHSG Konsolidasi, Cek Rekomendasi MEDC, PGAS, ASII","indeks lq45 -0,02% ke 1.008 indeks idx30 -0,04% ke 538. indeks idx80 -0,06% ke 141. jakarta islamic indeks (jii) -0,08% ke 584. indeks kompas100 +0,03% ke 1.226. indeks sri kehati +0,33% ke 398. indeks sminfra18 +0,31% ke 310. saham top gainers lq45: excl , ptpp , wika , klbf , cpin , jpfa , tlkm .","['excl', 'ptpp', 'wika', 'klbf', 'cpin', 'jpfa', 'tlkm']"
"Mirae: IHSG Konsolidasi, Cek Rekomendasi MEDC, PGAS, ASII","saham top losers lq45: bbri , inkp , tpia , ggrm , bbtn , ptba , medc .","['bbri', 'inkp', 'tpia', 'ggrm', 'bbtn', 'ptba', 'medc']"
"Mirae: IHSG Konsolidasi, Cek Rekomendasi MEDC, PGAS, ASII","saham teraktif: sico , winr , ptdu , ricy , antm , admr , bipi nilai transaksi rp15,68 triliun.",['antm']
"Mirae: IHSG Konsolidasi, Cek Rekomendasi MEDC, PGAS, ASII","""yang jelas adalah pasar memandang resesi sebagai kemungkinan yang semakin besar, pandangan yang didengar dari powell, yang merinci bahwa resesi adalah kemungkinan tetapi bukan niat mereka,"" kata chris weston, kepala penelitian di broker pepperstone di melbourne.",['buka']
"Mirae: IHSG Konsolidasi, Cek Rekomendasi MEDC, PGAS, ASII",bursa eropa pasar saham eropa dibuka lebih rendah pada kamis (23/6) pagi waktu setempat.,['buka']
"Rekomendasi Saham Aldiracita Sekuritas di Semester II/2022, dari BBTN hingga TLKM","direktur bca beli saham bbca rp 664,77 juta liputan6.com, jakarta - direktur pt bank central asia tbk (bbca) lianawaty suwono menambah kepemilikan saham pada 15 juni 2022. direktur bca lianawaty suwono, membeli 45.200 lembar saham bbca dengan harga rp 7.350 per lembar dan 45.400 lembar saham bbca dengan harga rp 7.325 pada 15 juni 2022. dengan demikian nilai pembelian saham tersebut sekitar rp 664,77 juta.","['bbca', 'bbca', 'bbca', 'bbca']"
"Rekomendasi Saham Aldiracita Sekuritas di Semester II/2022, dari BBTN hingga TLKM","setelah melakukan transaksi itu, lianawaty memegang 1.729.108 lembar saham bbca dari sebelumnya 1.638.508 lembar.",['bbca']
"Rekomendasi Saham Aldiracita Sekuritas di Semester II/2022, dari BBTN hingga TLKM","""status kepemilikan saham langsung,"" tulis manajemen bca , dikutip dari keterbukaan informasi ke bursa efek indonesia, kamis (23/6/2022).",['buka']
"Rekomendasi Saham Aldiracita Sekuritas di Semester II/2022, dari BBTN hingga TLKM","sebelumnya, baru-baru ini, sejumlah direksi pt bank central asia tbk (bbca) menambah kepemilikan saham mereka.",['bbca']
"Rekomendasi Saham Aldiracita Sekuritas di Semester II/2022, dari BBTN hingga TLKM",ia membeli 68.000 lembar saham bbca pada 13 mei dengan harga rp 7.350 per lembar.,['bbca']
"Rekomendasi Saham Aldiracita Sekuritas di Semester II/2022, dari BBTN hingga TLKM","usai transaksi, lianawaty genggam 1.638.508 lembar saham bbca dari sebelumnya 1.570.508 lembar.",['bbca']
"Rekomendasi Saham Aldiracita Sekuritas di Semester II/2022, dari BBTN hingga TLKM","lalu, santoso membeli 30.000 lembar saham bbca dengan harga rp 7.400 per lembar pada 13 mei 2022. nilai transaksi pembelian rp 222 juta.",['bbca']
"Rekomendasi Saham Aldiracita Sekuritas di Semester II/2022, dari BBTN hingga TLKM","pada 10 mei 2022, vera membeli 264.500 lembar saham bbca dengan harga 7.550 per lembar.",['bbca']
"Rekomendasi Saham Aldiracita Sekuritas di Semester II/2022, dari BBTN hingga TLKM","dengan demikian, vera memegang 1.479.582 lembar saham bbca dari sebelumnya 1.215.082 lembar.",['bbca']
"Rekomendasi Saham Aldiracita Sekuritas di Semester II/2022, dari BBTN hingga TLKM",ia kembali melakukan pembelian 136.000 lembar saham bbca pada 12 mei dengan harga rp 7.300 per lembar.,['bbca']
"Rekomendasi Saham Aldiracita Sekuritas di Semester II/2022, dari BBTN hingga TLKM","dengan demikian, nilai pembelian saham bbca rp 992,80 juta.",['bbca']
"Rekomendasi Saham Aldiracita Sekuritas di Semester II/2022, dari BBTN hingga TLKM",sehingga total saham bbca yang dimiliki vera saat ini adalah 1.616.082 lembar.,['bbca']
"Rekomendasi Saham Aldiracita Sekuritas di Semester II/2022, dari BBTN hingga TLKM","sebelumnya, pt bank central asia tbk (bbca) atau bca dan entitas anak membukukan laba bersih sebesar rp8,1 triliun pada triwulan i 2022. angka ini tumbuh 14,6 persen secara tahunan atau year on year (yoy).",['bbca']
"Rekomendasi Saham Aldiracita Sekuritas di Semester II/2022, dari BBTN hingga TLKM","kemudian, seiring solidnya pertumbuhan likuiditas dan kredit, bca membukukan pertumbuhan positif pada pendapatan bunga bersih (net interest income/nii) selama tiga bulan pertama tahun 2022 naik 2,5 persen yoy menjadi rp14,5 triliun.",['inco']
"Biang Kerok IHSG dan Bursa Asia Tertekan, Rekomendasi Saham BBRI hingga ABBA","ihsg turun 0,52 persen, investor asing beli saham hrum hingga pgas liputan6.com, jakarta - laju indeks harga saham gabungan (ihsg) bertahan di zona merah pada perdagangan sesi pertama, kamis (23/6/2022).","['hrum', 'pgas']"
"Biang Kerok IHSG dan Bursa Asia Tertekan, Rekomendasi Saham BBRI hingga ABBA","saham-saham yang masuk top gainers antara lain: -saham pamg melonjak 25,93 persen -saham rigs melonjak 24,48 persen -saham rbms melonjak 10,91 persen -saham esip melonjak 8,79 persen -saham tech melonjak 8,01 persen saham-saham yang masuk top losers antara lain: -saham stos turun 6,94 persen -saham smdr turun 6,90 persen -saham pbsa turun 6,86 persen -saham kblv turun 6,85 persen -saham duti turun 6,81 persen saham-saham yang dibeli investor asing antara lain: -saham hrum senilai rp 33,5 miliar -saham klbf senilai rp 25,8 miliar -saham mdka senilai rp 20,6 miliar -saham admr senilai rp 17,3 miliar -saham pgas senilai rp 11,8 miliar saham-saham yang dijual investor asing antara lain: -saham bbri senilai rp 77,7 miliar -saham inco senilai rp 60,9 miliar -saham tlkm senilai rp 28,5 miliar -saham itmg senilai rp 26,8 miliar -saham film senilai rp 16 miliar sebelumnya, gerak indeks harga saham gabungan (ihsg) fluktuatif pada perdagangan kamis, 23 juni 2022. investor asing masih melakukan aksi jual saham pada awal sesi perdagangan.","['hrum', 'klbf', 'mdka', 'pgas', 'bbri', 'inco', 'tlkm', 'itmg']"
"Biang Kerok IHSG dan Bursa Asia Tertekan, Rekomendasi Saham BBRI hingga ABBA","pada pembukaan perdagangan, ihsg melemah enam poin ke posisi 6.78,38. indeks lq45 menguat 0,14 persen ke posisi 1.010,37. sebagian besar indeks acuan kompak menghijau.",['buka']
"BNI Sekuritas: IHSG Potensi Melemah Terbatas, Cek Target Harga BBCA Hingga TBIG","berikut ini beberapa rekomendasi dari yugen bertumbuh sekuritas, untuk saham-saham berpotensi dicermati pada perdagangan hari ini, di antaranya adalah: - jsmr - pwon - asri - hmsp - unvr - tlkm - bina - tbig - klbf research analyst artha sekuritas indonesia, dennies christoper menambahkan, ada beberapa saham layak dicermati pada perdagangan hari ini.","['hmsp', 'unvr', 'tlkm', 'tbig', 'klbf']"
"BNI Sekuritas: IHSG Potensi Melemah Terbatas, Cek Target Harga BBCA Hingga TBIG","dia pun rekomendasikan saham milik eraa erajaya swasembada tbk dengan target price 530 – 545, tingkat masuk 500 - 510, dan stop loss 490.",['eraa']
"BNI Sekuritas: IHSG Potensi Melemah Terbatas, Cek Target Harga BBCA Hingga TBIG","selain eraa, dennies juga rekomendasikan saham milik mika mitra keluarga karyasehat tbk.","['eraa', 'mika']"
"BNI Sekuritas: IHSG Potensi Melemah Terbatas, Cek Target Harga BBCA Hingga TBIG","mika masih menarik dicermati dengan target price 2.950 - 3.000, tingkat masuk 2.800 - 2.850, dan stop loss 2.770.",['mika']
"BNI Sekuritas: IHSG Potensi Melemah Terbatas, Cek Target Harga BBCA Hingga TBIG","disclaimer: artikel ini merupakan rekomendasi dan analisis saham dari analis sekuritas yang bersangkutan, bukan untuk mengajak membeli atau menjual saham tertentu.",['buka']
"Menyambut Direksi Baru BEI, Simak Menu Saham Hari Ini","investor asing banyak lepas bbri, inco dan tiga saham lainnya jakarta, investor.id – dibuka jatuh 5,92 poin (0,08%) di level 6.978, ihsg ditutup terjebak di zona merah pada perdagangan sesi i, kamis (23/6/2022).","['bbri', 'inco', 'buka']"
"Menyambut Direksi Baru BEI, Simak Menu Saham Hari Ini","saham-saham yang banyak di lepas asing ( net sell ) adalah pt bank rakyat indonesia tbk (bbri), pt vale indonesia tbk (inco), pt telkom indonesia tbk (tlkm), pt indo tambangraya megah tbk (itmg), pt md pictures tbk (film).","['bbri', 'inco', 'tlkm', 'itmg']"
"Menyambut Direksi Baru BEI, Simak Menu Saham Hari Ini","baca juga : 336 saham melemah, ihsg terkoreksi 0,52% bbri menjadi saham yang terbanyak dilepas investor asing pada sesi i perdagangan.",['bbri']
"Menyambut Direksi Baru BEI, Simak Menu Saham Hari Ini","bbri mencatatkan net sell sebesar rp 77,7 miliar.",['bbri']
"Menyambut Direksi Baru BEI, Simak Menu Saham Hari Ini","meski demikian, harga bbri malah stagnan di rp 4.320. kemudian, inco sebesar rp 60,9 miliar.","['bbri', 'inco']"
